id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
16474,559,1603481208,0,0,infection,CASE0[0],,,32,,0,0,,0
16464,564,1603480322,0,0,infection,CASE0[0],,,32,,0,0,,0
16385,561,1603475901,0,0,quiz,,,,32,,0,22,,75
16384,559,1603475874,0,0,contact,,,,32,190cc019-6518-4255-92d2-14012d586682,305823,0,,0
16506,565,1603505401,0,0,contact,,,,32,3cd022e9-6b3f-4843-a6b9-6b68b29b3245,178421,0,,0
16383,563,1603475864,0,0,quiz,,,,32,,0,22,,25
16505,559,1603501792,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,46754,0,,0
16382,558,1603475857,0,0,quiz,,,,32,,0,22,,75
16504,559,1603501745,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,13839,0,,0
16381,557,1603475857,0,0,quiz,,,,32,,0,22,,75
16503,559,1603501540,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,32741,0,,0
16380,565,1603475832,0,0,contact,,,,32,58df9ee7-8729-4206-876e-9d491480b49c,41729,0,,0
16379,565,1603475832,0,0,contact,,,,32,5925ef2f-780b-4186-85e3-67a6e333ae77,121530,0,,0
16502,559,1603501430,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,54875,0,,0
16378,565,1603475782,0,0,contact,,,,32,58df9ee7-8729-4206-876e-9d491480b49c,20327,0,,0
16501,559,1603500557,0,0,contact,,,,32,b63275cf-0218-4f71-9e2b-20ee271fbcdd,87431,0,,0
16500,559,1603500557,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,63427,0,,0
16377,553,1603475694,0,0,contact,,,,32,190cc019-6518-4255-92d2-14012d586682,60313,0,,0
16499,555,1603499817,0,0,quiz,,,,32,,0,23,,75
16376,565,1603475664,0,0,contact,,,,32,5925ef2f-780b-4186-85e3-67a6e333ae77,30009,0,,0
16498,559,1603498603,0,0,contact,,,,32,b63275cf-0218-4f71-9e2b-20ee271fbcdd,195765,0,,0
16375,553,1603475635,0,0,quiz,,,,32,,0,22,,100
16497,561,1603497572,0,0,quiz,,,,32,,0,23,,75
16374,565,1603475605,0,0,contact,,,,32,58df9ee7-8729-4206-876e-9d491480b49c,36002,0,,0
16496,570,1603496557,0,0,quiz,,,,32,,0,23,,100
16373,559,1603475537,0,0,contact,,,,32,190cc019-6518-4255-92d2-14012d586682,115433,0,,0
16495,559,1603494885,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,174442,0,,0
16372,565,1603475510,0,0,contact,,,,32,58df9ee7-8729-4206-876e-9d491480b49c,39244,0,,0
16494,559,1603494850,0,0,contact,,,,32,b63275cf-0218-4f71-9e2b-20ee271fbcdd,179315,0,,0
16371,565,1603475455,0,0,contact,,,,32,58df9ee7-8729-4206-876e-9d491480b49c,32347,0,,0
16493,562,1603494428,0,0,quiz,,,,32,,0,23,,75
16492,565,1603492754,0,0,quiz,,,,32,,0,23,,75
16491,565,1603492754,0,0,modifier,,,,32,,0,0,Wearing Mask,0
16369,556,1603475112,0,0,quiz,,,,32,,0,22,,50
16490,559,1603492329,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,152825,0,,0
16368,567,1603474914,0,0,quiz,,,,32,,0,22,,75
16367,566,1603474463,0,0,quiz,,,,32,,0,22,,100
16488,570,1603492117,0,0,quiz,,,,32,,0,22,,75
16366,565,1603473511,0,0,quiz,,,,32,,0,22,,75
16365,565,1603473511,0,0,modifier,,,,32,,0,0,Wearing Mask,0
16487,559,1603491987,0,0,contact,,,,32,5f8c2cda-7cdc-47d7-8a38-cf3a80ebdcc0,58427,0,,0
16364,559,1603473017,0,0,quiz,,,,32,,0,22,,50
16486,559,1603491745,0,0,quiz,,,,32,,0,23,,100
16485,559,1603491745,0,0,modifier,,,,32,,0,0,Wearing PPE,0
16363,564,1603472556,0,0,quiz,,,,32,,0,22,,50
16484,559,1603491388,0,0,contact,,,,32,b63275cf-0218-4f71-9e2b-20ee271fbcdd,193634,0,,0
16483,556,1603490410,0,0,quiz,,,,32,,0,23,,50
16482,563,1603489337,0,0,quiz,,,,32,,0,23,,75
16481,559,1603489052,0,0,contact,,,,32,3cd022e9-6b3f-4843-a6b9-6b68b29b3245,176832,0,,0
16480,559,1603488830,0,0,contact,,,,32,b63275cf-0218-4f71-9e2b-20ee271fbcdd,178905,0,,0
16479,564,1603486518,0,0,modifier,,,,32,,0,0,Not wearing any protection,0
16478,564,1603486288,0,0,quiz,,,,32,,0,23,,75
16477,565,1603483271,0,0,contact,,,,32,3cd022e9-6b3f-4843-a6b9-6b68b29b3245,470072,0,,0
